SystematicName,Gene,Vol_fL,log2_ratio
YER002W,NOP16,40,0.687377962
YER002W,NOP16,45,0.705745722
YER002W,NOP16,50,0.203067892
YER002W,NOP16,55,-0.08843709
YER002W,NOP16,60,-0.698033739
YER002W,NOP16,65,-0.708285237
YER002W,NOP16,70,-1.045014413
YER002W,NOP16,75,-0.068128424
YFL039C,ACT1,40,-0.365758621
YFL039C,ACT1,45,-0.939820871
YFL039C,ACT1,50,-0.190652478
YFL039C,ACT1,55,-0.041836351
YFL039C,ACT1,60,-0.052291038
YFL039C,ACT1,65,0.179973642
YFL039C,ACT1,70,0.378761196
YFL039C,ACT1,75,0.543518617
YLR197W,NOP56,40,0.594102037
YLR197W,NOP56,45,0.771811321
YLR197W,NOP56,50,0.010050314
YLR197W,NOP56,55,-0.209390032
YLR197W,NOP56,60,0.07702183
YLR197W,NOP56,65,-0.785938427
YLR197W,NOP56,70,-0.351212812
YLR197W,NOP56,75,-1.022027049
